"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness"
"Q11A",0.166241124198938,0,0,0.0113412031277785,0.0545506666937586,0.109309559732471,0.0536582075719996,0.0609187896551471,0,0.0139688271314773,0,0.0786562728588198,0.0544835778378715,0.14841635706386,0.03626139393852,0.0140589101342604,0.00730295121790327,0.105655476065931,0,0,0,0,-0.0270366726602997,0,-0.0678931633309204,0.00362997695853358
"Q12A",0.0232427415144879,0,0,0.0318876107566152,0,0.0198820485046338,0.0827396153816281,0.131078830729244,0.0831208868521241,0,0.0786562728588198,0,0.0480868000991398,0.052356628128133,0.189557885288736,0,0,0.0195610646062745,0.0808501117240774,0.126033342283766,0,0,0.00817127040194777,0.00384661927049659,-0.0668054602220759,0.00290862837033183
"Q13A",0.0846031296917828,0.0100332056119567,0.183333173817245,0,0.0811377015886596,0,0,0.0319094034330739,0,0.0705637041368935,0.0544835778378715,0.0480868000991398,0,0,0.0068959787185437,0.0741090265296455,0.161216934220803,0.0691422678821506,0.00230571469386788,0.00823861677822229,0.110338503963266,0,0.0278770048263932,0,-0.0337619269841137,0
"Q14A",0.0953242471101338,0.0218927144811316,0.0163741489980093,0.0271677218907958,0.0648194442525904,0.136027424937602,0,0.0134621875446472,0.0304099211387551,0,0.14841635706386,0.052356628128133,0,0,0,0.0175655755930088,0,0.0888614479811199,0.0362199439185096,0.0228639719923149,0.0229819044034149,0.00593732183186492,-0.0739699403941128,0,0,0
"Q15A",0.0300381648056001,0,0,0.115094802453753,0,0.0451775862116163,0.110534266475421,0.10606885084544,0.189718297295775,0,0.03626139393852,0.189557885288736,0.0068959787185437,0,0,0,0,0.00349613742731367,0.0388057879914867,0.215109480291994,0,0,0.0137326365806513,0,-0.028785505750278,0
"Q16A",0.0206639404417525,0.0053473287415428,0.261544889713628,0,0.221483981650793,0,0,0.0278010499332954,0,0.169582791415462,0.0140589101342604,0,0.0741090265296455,0.0175655755930088,0,0,0,0,0,0.0255457186782113,0.0682442967696263,-0.104844423726441,0,0,0,-0.000433390811542781
"Q17A",0,0.0268218225091549,0.0667301983541551,0,0.0289186588808705,0.00930047547536812,0.0208002156693785,0,0.0873006020844731,0.176867852766764,0.00730295121790327,0,0.161216934220803,0,0,0,0,0.0659914703265865,0,0.0569090390835314,0.330151710194947,-0.00611320308403356,0,-0.0437305504902291,-0.0149183479420166,-0.0198031469914099
"Q18A",0.0463635757453691,0.0424916818669831,0,0,0,0.187617601747269,0.0326913815768833,0,0.0635000500298366,0,0.105655476065931,0.0195610646062745,0.0691422678821506,0.0888614479811199,0.00349613742731367,0,0.0659914703265865,0,0.012601254246935,0.0191701270462378,0,0.0101910023205901,0,0,-0.0536270764965522,0
"Q19A",0.0444311703094378,0.102698144565551,0,0.332810214452751,0,0,0.112666283444914,0,0.0398468535266991,0,0,0.0808501117240774,0.00230571469386788,0.0362199439185096,0.0388057879914867,0,0,0.012601254246935,0,0.0559204767946661,0,0,0.00779992389810494,0.00268039687907133,0,0
"Q20A",0,0.0245477020840429,0.0186889951256773,0.0512883756009931,0,0.0586489832026272,0,0.0362515125137589,0.169796581908563,0,0,0.126033342283766,0.00823861677822229,0.0228639719923149,0.215109480291994,0.0255457186782113,0.0569090390835314,0.0191701270462378,0.0559204767946661,0,0.0295160883825455,0,0.03732073354099,0,-0.0477463780099816,0
"Q21A",0,0,0.0811912426596664,0,0.0263804222342049,0,0,0,0,0.335309554845321,0,0,0.110338503963266,0.0229819044034149,0,0.0682442967696263,0.330151710194947,0,0,0.0295160883825455,0,-0.0275974907107802,-0.0439600438506225,-0.0045368495667442,-0.0100054259572739,0
"Extraversion",0,0.0141845171351264,-0.0109661589695022,0,-0.0392994087577001,0.0754693847407985,0,0,-0.00107465397234405,-0.0355774735269093,0,0,0,0.00593732183186492,0,-0.104844423726441,-0.00611320308403356,0.0101910023205901,0,0,-0.0275974907107802,0,-0.024954962266211,0.0012906848238268,0.0570671802055589,0.230005533442064
"Agreeableness",0,0,0,0,0,-0.00783703765370737,0,0,0.0529165671273083,0,-0.0270366726602997,0.00817127040194777,0.0278770048263932,-0.0739699403941128,0.0137326365806513,0,0,0,0.00779992389810494,0.03732073354099,-0.0439600438506225,-0.024954962266211,0,0.0661848643511543,0.147719757839494,0.0871016362329285
"Conscientiousness",0.00605626110402213,-0.0123707976880947,0,0,-0.139573213195795,0,0,0.0319618259270384,-0.00704019398601094,0,0,0.00384661927049659,0,0,0,0,-0.0437305504902291,0,0.00268039687907133,0,-0.0045368495667442,0.0012906848238268,0.0661848643511543,0,0.151136424592403,0.155116295752334
"Emotional",-0.0287832027210586,0,0,-0.0315065801999777,0,-0.209042582318826,-0.00457020021638813,-0.059380674158418,-0.0576248190611243,0,-0.0678931633309204,-0.0668054602220759,-0.0337619269841137,0,-0.028785505750278,0,-0.0149183479420166,-0.0536270764965522,0,-0.0477463780099816,-0.0100054259572739,0.0570671802055589,0.147719757839494,0.151136424592403,0,0.0794679484070253
"Openness",0.0114965395772346,0,0,0,0,0,0,0,-0.034035950076964,-0.0293938334311192,0.00362997695853358,0.00290862837033183,0,0,0,-0.000433390811542781,-0.0198031469914099,0,0,0,0,0.230005533442064,0.0871016362329285,0.155116295752334,0.0794679484070253,0
