"","ï..Q1A","Q2A","Q3A","Q4A","Q5A","Q6A","Q7A","Q8A","Q9A","Q10A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q17A","Q18A","Q19A","Q20A","Q21A","country","TIPI1","TIPI2","TIPI3","TIPI4","TIPI5","TIPI6","TIPI7","TIPI8","TIPI9","TIPI10","VCL3","VCL6","VCL12","gender","age","Extraversion","Agreeableness","Conscientiousness","Emotional","Openness","education","urban","race"
"18",1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,"HU",6,2,6,7,6,3,4,5,7,2,0,0,0,1,20,9,6,11,14,8,2,2,60
"19",1,4,4,4,4,1,4,4,3,4,1,3,4,1,3,4,4,1,4,1,4,"CA",1,3,5,3,5,1,1,5,6,1,0,0,0,1,24,2,4,10,9,6,4,3,60
"20",3,1,3,1,3,4,1,4,3,2,2,3,2,2,2,3,3,2,2,4,2,"US",6,5,7,3,7,5,6,7,6,6,0,0,0,1,21,11,11,14,9,13,3,1,60
"21",2,3,1,1,4,2,1,1,2,1,1,1,1,4,1,2,1,2,2,1,3,"IT",2,3,4,4,3,2,4,3,6,6,0,0,0,1,22,4,7,7,10,9,2,3,60
"22",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,"GB",1,7,1,1,1,1,1,1,1,1,0,0,0,1,20,2,8,2,2,2,3,1,60
"23",3,4,2,4,2,2,4,4,4,2,2,4,3,2,4,2,2,2,4,2,2,"US",5,7,4,1,5,2,7,6,2,4,0,0,0,1,38,7,14,10,3,9,3,3,60
"24",3,1,2,2,3,4,1,4,1,2,4,2,3,4,3,2,3,4,2,1,2,"US",4,2,7,1,2,4,1,3,1,6,0,0,0,1,36,8,3,10,2,8,2,1,60
"25",2,1,2,1,2,2,1,2,2,3,3,2,3,2,2,3,2,2,1,1,2,"RO",5,3,4,2,4,6,1,7,1,6,0,0,0,1,35,11,4,11,3,10,4,2,60
"26",1,1,2,1,2,4,1,1,3,4,1,3,2,1,2,4,4,1,1,2,4,"US",6,6,5,1,7,5,7,5,1,6,0,0,0,1,22,11,13,10,2,13,4,3,10
"27",4,2,1,2,3,3,2,4,1,1,4,2,3,4,1,2,3,4,2,1,2,"US",7,3,5,2,7,5,5,3,6,5,0,0,0,1,28,12,8,8,8,12,2,1,60
"28",4,2,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,"DE",1,2,5,2,6,1,3,3,5,6,0,0,0,1,21,2,5,8,7,12,2,2,60
"29",2,1,2,2,1,2,3,2,4,1,3,3,3,2,3,1,2,2,4,4,2,"ID",5,1,6,2,5,3,7,7,3,6,0,0,0,1,22,8,8,13,5,11,3,2,10
"30",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"GR",3,6,5,7,5,3,5,3,6,6,0,0,0,1,20,6,11,8,13,11,2,3,60
"31",3,3,3,1,4,3,1,2,4,4,3,3,2,4,2,4,4,2,3,1,4,"GR",5,1,3,1,2,1,6,4,1,6,0,0,0,1,19,6,7,7,2,8,2,3,60
"32",2,1,4,3,3,3,2,3,2,2,3,1,2,2,1,4,1,1,1,2,3,"IN",5,3,5,4,5,5,6,3,4,4,0,0,0,1,28,10,9,8,8,9,4,3,10
"33",3,1,2,1,3,1,1,4,1,2,1,2,3,3,1,4,1,2,2,3,3,"HU",2,3,6,7,7,2,3,4,6,7,0,0,0,1,38,4,6,10,13,14,4,2,60
"34",1,1,2,1,2,1,1,1,1,3,1,1,2,1,1,2,2,2,1,1,2,"ID",4,1,6,6,4,2,4,2,6,4,0,0,0,1,22,6,5,8,12,8,3,3,10
"35",2,3,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,"US",5,3,3,4,6,3,6,2,5,6,0,0,0,1,25,8,9,5,9,12,3,2,70
"36",2,1,3,2,2,1,1,4,1,4,2,1,4,2,1,3,3,1,2,1,4,"UA",6,3,6,4,5,2,2,4,5,5,0,0,0,1,23,8,5,10,9,10,3,3,70
"37",3,4,3,3,4,4,2,4,4,2,2,4,3,4,3,2,3,3,3,4,3,"KR",4,1,3,2,5,2,6,4,3,3,0,0,0,1,22,6,7,7,5,8,4,3,10
"38",1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,3,1,2,2,1,1,"CA",2,7,7,3,7,2,6,7,7,7,0,0,0,1,43,4,13,14,10,14,3,2,60
"39",2,1,2,2,3,1,1,2,2,3,1,2,2,2,2,2,3,2,1,4,2,"CA",1,2,6,3,6,1,6,4,4,4,0,0,0,1,21,2,8,10,7,10,3,3,10
"40",1,1,4,2,2,3,3,2,1,4,1,3,3,2,1,1,3,1,3,1,1,"GE",3,3,5,2,6,1,4,5,1,7,0,0,0,1,21,4,7,10,3,13,3,1,70
"41",3,3,3,1,4,1,3,3,1,3,3,3,4,3,3,4,2,1,4,2,4,"SE",5,6,3,4,6,2,6,2,2,3,0,0,0,1,25,7,12,5,6,9,2,1,60
"42",4,1,3,2,4,4,1,3,4,4,3,3,4,3,1,3,3,2,3,1,4,"AU",6,2,2,1,7,5,6,3,5,3,0,0,0,1,30,11,8,5,6,10,1,3,70
"43",1,3,1,1,3,2,1,1,3,1,1,2,3,1,3,2,1,2,2,2,1,"ID",7,3,6,5,4,5,7,2,6,4,0,0,0,1,21,12,10,8,11,8,2,3,10
"44",1,2,2,1,1,2,1,2,2,4,3,1,2,2,1,3,3,2,1,1,4,"SE",2,5,5,6,6,1,1,6,6,3,0,0,0,1,25,3,6,11,12,9,2,2,50
"45",1,1,2,2,3,1,1,2,2,4,3,2,2,1,3,2,4,2,1,1,4,"FI",1,5,2,1,3,1,2,5,6,2,0,0,0,1,19,2,7,7,7,5,2,2,60
"46",1,1,2,1,4,3,1,3,2,4,3,2,4,1,3,2,3,3,1,2,2,"US",1,6,3,2,7,1,5,1,2,6,0,0,0,1,22,2,11,4,4,13,2,2,60
"47",2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,"US",6,3,5,3,6,2,6,0,6,3,0,0,0,1,41,8,9,5,9,9,3,2,10
"48",2,3,3,1,4,4,1,2,1,4,2,1,3,2,1,3,3,2,3,2,4,"US",2,3,3,7,5,1,4,4,4,3,0,0,0,1,28,3,7,7,11,8,2,2,60
"49",1,1,3,1,2,1,1,1,1,4,1,1,1,2,1,1,4,1,1,1,4,"FR",2,3,4,5,6,2,3,4,4,2,0,0,0,1,24,4,6,8,9,8,3,3,60
"50",1,1,1,2,2,3,1,3,3,3,2,1,4,1,1,1,1,3,1,2,1,"US",5,7,7,3,6,1,7,1,4,6,0,0,0,1,20,6,14,8,7,12,2,2,60
"51",2,1,1,1,2,2,1,2,2,2,2,1,2,1,1,2,2,1,1,1,2,"IN",5,4,5,3,7,3,6,3,5,6,0,0,0,1,29,8,10,8,8,13,4,1,10
"52",4,1,4,1,4,4,2,4,1,1,1,1,4,1,4,4,1,1,1,4,1,"CA",7,7,4,2,7,1,1,4,1,7,0,0,0,1,37,8,8,8,3,14,4,3,60
"53",2,1,3,1,3,2,1,4,2,3,2,2,3,2,1,3,3,2,1,1,2,"US",4,4,6,3,5,3,5,6,3,5,0,0,0,1,20,7,9,12,6,10,2,1,60
"54",1,1,2,1,3,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,2,"CZ",1,1,5,4,5,1,3,4,5,7,0,0,0,1,27,2,4,9,9,12,2,1,60
"55",2,3,3,1,2,3,1,4,4,4,1,4,4,2,4,4,4,2,1,2,4,"CL",3,2,3,1,7,5,5,7,2,7,0,0,0,1,31,8,7,10,3,14,4,2,70
"56",3,1,2,1,3,3,2,3,2,3,2,3,4,3,2,2,3,2,1,1,3,"CA",2,4,5,3,7,1,6,1,4,6,0,0,0,1,31,3,10,6,7,13,4,3,60
"57",1,1,2,1,3,2,1,2,1,2,1,1,2,1,1,2,3,2,1,1,3,"IN",3,7,4,4,6,2,4,6,5,5,0,0,0,1,26,5,11,10,9,11,3,3,10
"58",1,1,2,1,4,2,1,3,3,3,1,1,3,1,1,4,3,1,1,1,4,"US",2,2,6,7,7,2,2,3,7,3,0,0,0,1,20,4,4,9,14,10,4,1,60
"59",3,1,1,2,4,3,1,3,2,2,4,4,1,1,2,2,2,2,2,2,1,"US",2,7,3,2,5,1,7,3,2,6,0,0,0,1,19,3,14,6,4,11,2,2,60
"60",4,1,3,2,4,1,1,2,1,3,2,2,4,2,1,3,1,2,1,1,3,"NONE",4,3,6,5,7,5,6,7,4,7,0,0,0,1,39,9,9,13,9,14,2,3,60
"61",4,2,2,1,3,3,3,3,1,2,4,3,2,4,2,3,1,3,1,1,1,"US",2,1,7,2,7,1,1,7,4,6,0,0,0,1,46,3,2,14,6,13,3,3,60
"62",2,2,2,1,3,3,1,3,4,1,4,4,2,1,1,2,2,2,1,1,3,"RS",6,1,7,2,6,2,5,6,3,6,0,0,0,1,21,8,6,13,5,12,3,3,60
"63",2,3,1,2,2,2,1,2,4,1,2,2,3,2,3,1,4,2,2,2,1,"US",6,7,7,1,5,2,7,3,3,6,0,0,0,1,19,8,14,10,4,11,2,1,60
"64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,"US",2,1,5,0,5,3,5,7,6,5,0,0,0,1,43,5,6,12,6,10,4,3,60
"65",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,"CA",3,4,6,7,7,4,5,2,7,1,0,0,0,1,23,7,9,8,14,8,2,1,60
"66",2,1,2,3,2,1,1,2,1,2,2,1,1,2,1,2,1,2,2,1,2,"SG",2,4,6,3,6,1,5,7,6,2,0,0,0,1,38,3,9,13,9,8,2,3,10
"67",2,2,1,1,2,3,2,3,3,1,3,2,2,2,2,1,1,1,3,4,1,"US",3,6,6,1,7,4,5,5,3,7,0,0,0,1,20,7,11,11,4,14,2,2,60
"68",2,1,2,1,3,3,1,3,2,2,1,3,2,2,2,2,2,3,1,2,1,"EC",5,1,4,6,6,1,4,2,5,7,0,0,0,1,20,6,5,6,11,13,2,3,70
"69",1,1,2,1,3,1,1,1,1,4,2,1,2,4,1,2,2,2,1,1,4,"US",2,1,6,4,5,3,2,7,3,6,0,0,0,1,19,5,3,13,7,11,2,3,60
"70",1,1,3,1,2,1,1,1,1,3,1,2,2,2,2,2,1,1,1,1,2,"US",1,6,6,5,6,1,7,2,4,3,0,0,0,1,20,2,13,8,9,9,2,2,60
"71",2,1,3,1,4,2,1,2,4,4,2,3,2,1,2,2,4,2,2,3,3,"US",2,3,2,4,5,4,7,4,3,4,0,0,0,1,20,6,10,6,7,9,2,2,60
"72",2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,3,1,1,1,"US",2,3,6,7,4,2,2,6,6,6,0,0,0,1,28,4,5,12,13,10,4,2,60
"73",2,2,1,1,3,2,2,2,2,1,1,3,1,2,3,2,2,1,3,2,2,"CZ",2,2,4,7,5,1,5,2,5,1,0,0,0,1,21,3,7,6,12,6,2,1,60
"74",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"GB",5,4,7,7,5,2,6,1,7,5,0,0,0,1,20,7,10,8,14,10,2,3,60
"75",4,1,1,1,4,4,2,2,1,4,3,3,2,2,4,1,3,2,1,1,2,"US",7,3,1,2,6,3,6,2,2,6,0,0,0,1,21,10,9,3,4,12,2,2,60
"76",2,1,2,1,4,2,1,3,3,3,3,2,2,2,2,2,2,2,1,1,2,"HR",6,1,1,2,7,4,6,2,3,7,0,0,0,1,20,10,7,3,5,14,2,3,60
"77",1,2,2,1,4,1,1,1,2,1,2,1,3,1,1,1,1,3,2,2,4,"GB",6,2,5,6,6,4,3,6,7,3,0,0,0,1,20,10,5,11,13,9,3,3,60
"78",1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"NZ",5,3,5,6,5,3,5,5,6,3,0,0,0,1,20,8,8,10,12,8,2,3,60
"79",2,1,4,1,2,4,1,4,2,3,4,1,4,3,2,4,2,2,1,1,3,"MX",3,3,5,1,7,4,7,5,1,4,0,0,0,1,19,7,10,10,2,11,3,1,70
"80",1,2,2,1,3,3,2,2,1,2,3,2,2,2,1,1,2,2,1,1,2,"RS",2,3,6,4,5,2,4,6,4,6,0,0,0,1,23,4,7,12,8,11,3,3,60
"81",3,4,2,1,3,4,2,4,4,2,2,4,4,4,3,3,1,3,1,3,1,"SG",7,6,6,3,5,2,6,3,5,4,0,0,0,1,35,9,12,9,8,9,3,3,10
"82",4,1,1,1,1,4,3,4,1,1,3,4,2,3,1,1,1,4,4,1,1,"GB",5,3,6,2,7,3,7,4,1,7,0,0,0,1,32,8,10,10,3,14,4,3,60
"83",2,1,1,1,2,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,"FR",2,6,7,5,5,2,4,6,5,6,0,0,0,1,34,4,10,13,10,11,4,1,60
"84",2,4,4,1,4,4,2,4,4,4,4,4,4,2,4,3,4,4,2,4,4,"DE",1,5,1,1,5,1,4,1,2,5,0,0,0,1,20,2,9,2,3,10,2,1,10
"85",2,4,1,2,4,2,3,2,3,2,3,2,3,1,1,2,4,2,1,3,3,"AU",4,3,4,2,1,3,4,6,3,1,0,0,0,1,19,7,7,10,5,2,2,2,60
"86",3,1,3,1,2,3,2,4,3,2,3,3,3,2,2,2,2,3,2,3,3,"US",1,5,7,3,2,1,1,5,3,5,0,0,0,1,38,2,6,12,6,7,2,1,70
"87",2,1,1,2,2,2,1,4,2,1,2,3,1,2,2,2,2,2,3,2,1,"US",2,3,3,1,5,3,5,3,3,3,0,0,0,1,21,5,8,6,4,8,2,1,60
"88",3,4,3,3,4,2,2,4,4,4,4,3,4,4,2,4,4,4,3,3,4,"CA",2,3,3,2,7,2,6,2,1,7,0,0,0,1,26,4,9,5,3,14,2,2,60
"89",1,1,1,1,3,2,1,1,2,3,2,3,3,2,1,1,4,2,1,2,3,"BG",1,5,5,3,5,1,6,3,2,2,0,0,0,1,21,2,11,8,5,7,2,2,60
"90",4,1,2,2,4,3,3,4,4,3,3,4,3,3,3,3,2,3,4,3,3,"CA",1,5,5,3,6,2,5,3,3,4,0,0,0,1,23,3,10,8,6,10,2,3,60
"91",2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,2,2,"US",5,6,4,3,7,2,6,3,5,6,0,0,0,1,44,7,12,7,8,13,3,3,30
"92",3,4,3,1,3,4,4,4,1,3,4,2,2,3,2,3,3,4,1,2,3,"GB",2,2,2,2,2,2,2,2,2,2,0,0,0,1,41,4,4,4,4,4,3,3,60
"93",2,1,3,3,3,1,2,2,4,2,2,2,2,3,3,3,3,1,3,3,2,"US",2,5,3,4,6,2,5,5,4,5,0,0,0,1,26,4,10,8,8,11,2,2,50
"94",1,3,2,1,4,1,2,1,4,2,2,1,3,2,1,1,1,2,1,1,4,"MX",5,2,3,6,3,3,6,1,4,3,0,0,0,1,22,8,8,4,10,6,3,3,70
"95",1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,"PK",4,5,3,5,5,3,5,2,5,6,0,0,0,1,33,7,10,5,10,11,3,1,10
"96",2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,"US",7,1,7,7,7,1,7,2,6,7,0,0,0,1,22,8,8,9,13,14,2,3,60
"97",3,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,"US",7,1,7,6,7,7,6,7,6,7,0,0,0,1,41,14,7,14,12,14,3,2,70
"98",3,1,2,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,1,1,2,"NONE",5,3,6,3,4,3,5,7,4,3,0,0,0,1,32,8,8,13,7,7,4,3,60
"99",2,2,2,2,3,1,1,2,3,1,1,2,2,2,2,3,3,1,4,1,4,"US",3,3,4,6,4,4,4,2,5,4,0,0,0,1,29,7,7,6,11,8,3,2,60
"100",1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,3,"BR",7,3,7,6,6,6,7,3,5,7,0,0,0,1,30,13,10,10,11,13,3,3,60
"101",4,2,3,1,4,3,2,4,3,2,4,3,2,4,2,3,3,3,3,2,2,"PK",2,2,1,1,1,1,5,1,1,1,0,0,0,1,21,3,7,2,2,2,2,3,70
"102",2,1,2,1,2,2,1,3,1,2,2,2,2,2,1,2,2,1,1,2,2,"CA",4,3,5,3,3,1,6,2,4,3,0,0,0,1,65,5,9,7,7,6,2,1,60
"103",2,1,2,1,3,1,1,2,3,3,2,1,2,2,1,2,2,2,4,1,4,"US",3,3,4,4,7,1,6,5,5,3,0,0,0,1,31,4,9,9,9,10,3,3,70
"104",3,3,2,1,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,2,3,"MY",3,5,6,2,6,1,7,7,2,4,0,0,0,1,24,4,12,13,4,10,3,3,10
"105",1,3,1,1,4,2,2,4,1,3,3,3,1,2,2,4,3,2,1,1,1,"AT",5,4,5,2,5,2,5,3,2,6,0,0,0,1,19,7,9,8,4,11,2,1,70
"106",2,1,2,1,2,1,1,3,1,3,1,3,2,2,1,3,2,2,1,1,2,"BR",1,3,5,6,5,1,6,4,5,1,0,0,0,1,25,2,9,9,11,6,3,3,60
"107",1,2,4,1,3,3,1,2,3,2,4,2,3,4,3,3,3,2,1,1,3,"US",2,2,7,2,5,1,3,3,4,2,0,0,0,1,53,3,5,10,6,7,2,3,60
"108",2,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,1,1,2,1,1,"GB",6,4,7,7,7,3,5,6,7,7,0,0,0,1,30,9,9,13,14,14,3,3,10
"109",3,1,2,1,1,2,1,1,1,3,2,1,2,2,3,1,3,3,1,3,2,"GR",4,4,4,2,3,2,6,2,4,5,0,0,0,1,30,6,10,6,6,8,2,3,60
"110",2,1,3,3,4,2,1,4,2,3,2,2,2,2,1,3,3,2,2,3,2,"IN",5,4,7,3,5,1,5,3,5,3,0,0,0,1,42,6,9,10,8,8,4,2,10
"111",1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,"IN",3,7,6,6,6,2,4,7,7,6,0,0,0,1,31,5,11,13,13,12,4,3,10
"112",3,1,2,1,2,1,1,3,1,2,2,1,2,2,1,2,2,1,1,2,1,"US",2,6,6,3,6,2,6,5,6,2,0,0,0,1,58,4,12,11,9,8,4,3,10
"113",4,1,2,4,4,4,1,4,1,4,4,4,4,4,2,4,4,4,2,4,2,"US",3,3,6,1,7,3,7,3,3,6,0,0,0,1,25,6,10,9,4,13,2,3,70
"114",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"IN",4,7,4,3,4,1,7,7,6,2,0,0,0,1,22,5,14,11,9,6,4,3,10
"115",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"US",1,1,1,1,1,1,1,1,1,1,0,0,0,1,37,2,2,2,2,2,3,3,10
"116",3,1,1,1,2,2,2,3,1,1,3,1,2,3,1,1,1,1,1,2,1,"AU",2,6,5,6,6,1,6,5,6,6,0,0,0,1,41,3,12,10,12,12,3,3,60
"117",2,2,1,2,3,4,4,4,2,1,3,4,1,1,1,1,1,2,4,4,4,"PK",1,4,7,5,1,3,7,7,7,7,0,0,0,1,24,4,11,14,12,8,3,1,10
"118",2,1,3,1,4,3,1,3,2,4,3,4,3,2,4,3,4,2,1,2,3,"US",1,7,3,2,6,1,6,3,2,7,0,0,0,1,20,2,13,6,4,13,2,1,60
"119",4,2,3,2,3,3,1,3,2,3,3,2,3,3,2,3,3,2,2,2,4,"CA",1,3,6,2,6,1,5,6,4,7,0,0,0,1,37,2,8,12,6,13,2,1,60
"120",2,2,2,2,4,3,2,2,4,4,2,4,4,2,4,4,4,4,4,4,4,"CO",5,2,1,3,7,4,5,1,3,3,0,0,0,1,19,9,7,2,6,10,2,3,70
"121",3,1,2,1,1,2,2,2,1,1,1,3,2,3,1,1,1,1,2,2,1,"PL",4,5,6,4,6,3,6,5,6,6,0,0,0,1,39,7,11,11,10,12,2,1,60
"122",2,1,3,1,2,1,1,2,1,2,1,2,4,1,1,2,4,2,1,1,2,"US",4,7,7,6,4,1,7,3,6,4,0,0,0,1,35,5,14,10,12,8,4,3,10
"123",4,1,4,3,4,4,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,"US",4,6,4,1,2,6,6,5,1,4,0,0,0,1,35,10,12,9,2,6,4,3,60
"124",1,2,3,1,4,2,4,1,3,2,2,1,4,2,1,4,2,2,1,2,2,"US",1,6,7,6,3,1,6,7,6,2,0,0,0,1,72,2,12,14,12,5,3,3,60
"125",4,1,4,1,3,2,1,4,1,2,4,1,3,4,1,4,1,1,1,1,4,"NL",1,2,7,2,3,2,1,4,6,1,0,0,0,1,25,3,3,11,8,4,2,1,60
"126",2,3,1,3,2,1,1,1,2,2,4,4,2,4,1,2,1,2,2,1,1,"VN",5,1,7,3,7,4,3,7,6,7,0,0,0,1,22,9,4,14,9,14,3,3,10
"127",3,1,4,2,4,2,3,4,2,4,3,3,4,2,2,4,4,3,2,1,4,"NONE",2,3,3,2,7,1,4,2,3,5,0,0,0,1,22,3,7,5,5,12,2,2,10
"128",2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,"CA",3,5,6,5,7,1,7,7,5,4,0,0,0,1,44,4,12,13,10,11,4,3,60
"129",4,2,2,2,4,4,1,4,4,3,2,4,2,2,4,2,4,1,1,3,4,"MY",6,6,1,3,6,3,7,1,1,2,0,0,0,1,22,9,13,2,4,8,2,2,10
"130",2,3,3,1,3,3,1,3,1,2,3,3,3,2,1,3,1,3,2,1,1,"GB",1,5,1,3,2,1,1,1,3,7,0,0,0,1,23,2,6,2,6,9,2,1,30
"131",2,4,4,2,1,4,3,4,4,1,2,4,4,3,4,4,4,3,4,1,1,"AE",5,1,4,1,5,2,3,2,2,2,0,0,0,1,19,7,4,6,3,7,2,3,10
"132",3,1,4,2,3,2,1,4,3,4,2,3,4,3,2,4,4,1,1,2,4,"AU",1,2,5,3,2,1,3,7,3,2,0,0,0,1,30,2,5,12,6,4,2,3,60
"133",1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,"US",1,5,7,6,6,1,6,7,7,5,0,0,0,1,36,2,11,14,13,11,3,2,70
"134",2,2,2,1,4,2,3,2,3,2,3,2,2,2,2,4,3,3,1,1,2,"CA",2,5,2,2,2,3,6,5,1,6,0,0,0,1,29,5,11,7,3,8,4,2,60
"135",2,2,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2,2,2,2,"IN",4,4,5,3,6,1,6,2,3,5,0,0,0,1,24,5,10,7,6,11,4,3,70
"136",2,1,3,2,2,3,2,3,3,4,2,3,3,1,3,3,4,3,1,2,4,"ID",4,1,2,1,7,7,3,1,1,6,0,0,0,1,22,11,4,3,2,13,2,3,10
"137",1,1,3,1,3,2,1,2,2,3,2,2,3,3,2,3,3,3,1,1,3,"ID",4,7,1,1,4,1,6,1,4,4,0,0,0,1,24,5,13,2,5,8,2,1,10
"138",1,2,2,1,2,2,3,2,2,2,2,2,1,1,1,2,2,2,2,1,2,"CZ",3,7,3,5,2,2,5,4,6,2,0,0,0,1,22,5,12,7,11,4,3,3,60
"139",3,2,4,3,4,2,2,4,2,3,3,4,4,1,3,4,3,2,2,4,4,"US",1,2,1,1,3,2,2,1,2,3,0,0,0,1,61,3,4,2,3,6,2,2,60
"140",1,3,3,1,4,3,2,2,3,2,3,1,4,4,1,3,4,2,4,1,4,"DE",1,2,2,3,6,1,5,2,3,5,0,0,0,1,21,2,7,4,6,11,2,1,60
"141",4,3,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,"FO",1,4,1,1,1,1,4,3,2,2,0,0,0,1,21,2,8,4,3,3,2,3,60
"142",4,1,4,2,3,3,2,4,2,4,3,3,3,1,3,4,3,3,2,2,4,"US",2,4,6,2,5,2,7,7,2,6,0,0,0,1,54,4,11,13,4,11,3,2,60
